source_order_id,target_order_id,relationship_type,relationship_text,source_url,target_status
WY-EO-2026-005,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://drive.google.com/file/d/1Q7SQ66R7yoiVW0zIKjHTUqCr9ablkDqr/view?usp=drive_link,unresolved_no_fabricated_target
WY-EO-2026-006,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://drive.google.com/file/d/1feFIH8EAwOUENa1R9Tj5v4F2y-IawxA8/view?usp=drive_link,unresolved_no_fabricated_target
WY-EO-2025-09,WY-EO-2025-08,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://drive.google.com/file/d/1Oa9z31HUuGJlME2UI2ElgouVYHzXTGXM/view,present
WY-EO-2024-02,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://drive.google.com/file/d/1htbMlYaLfNyfCOS-3vDHvlH7AMky2J5L/view?usp=sharing,unresolved_no_fabricated_target
WY-EO-2024-03,WY-EO-2024-02,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://drive.google.com/file/d/1o0nF6NrnnxOVo51AO5cuMbh0GikhYgkr/view?usp=sharing,present
WY-EO-2024-05,WY-EO-2024-04,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://drive.google.com/file/d/1teB7dFIGbWTHewCQ9rEEU-im0nUEEGb1/view?usp=sharing,present
WY-EO-2024-08,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://drive.google.com/file/d/1awSWOYluO03xNbxBdabEXzbewDjtMy14/view?usp=sharing,unresolved_no_fabricated_target
WY-EO-2024-09,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://drive.google.com/file/d/1rHJkFu_yoCFDMVxSBNn3ZlGciiTqkBgg/view?usp=sharing,unresolved_no_fabricated_target
WY-EO-2024-10,WY-EO-2024-08,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://drive.google.com/file/d/11QpefduUIt5QWYg5DXzSLWna7RbUa002/view?usp=sharing,present
WY-EO-2024-12,WY-EO-2024-09,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://drive.google.com/file/d/1oSvOH8xxyq_DzhW7KdA7BHsy7dyMXuOW/view?usp=sharing,present
WY-EO-2023-01,WY-EO-2022-06,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://drive.google.com/file/d/10_mcku6mLPudDHnG7vcLT8ksHj_TKame/view?usp=drive_link,present
WY-EO-2022-01,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://drive.google.com/file/d/1FqC9u1lhV96y3or6XvQajsxCP3ZZ0iIy/view?usp=drive_link,unresolved_no_fabricated_target
WY-EO-2022-02,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://drive.google.com/file/d/1Ad-J8pc0ln_hNgLtQv8_TlPpcB7uhg3M/view?usp=drive_link,unresolved_no_fabricated_target
WY-EO-2022-05,WY-EO-2022-04,supersedes,Order 2022-05 explicitly supersedes and replaces Executive Order 2022-04.,https://drive.google.com/file/d/1fVmw74DTXxEq27bEpEBpqIwm0FhxXBk9/view?usp=drive_link,not_found_in_collected_archive
WY-EO-2022-06,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://drive.google.com/file/d/1mPKiKpoGoLeJzY3Qt5EWHEvmYVB6mKrr/view?usp=drive_link,unresolved_no_fabricated_target
WY-EO-2021-03,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://drive.google.com/file/d/1sgndBta9O7AOMGyStyOdnrHCJchaiQXM/view?usp=drive_link,unresolved_no_fabricated_target
WY-EO-2021-07,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://drive.google.com/file/d/1AWvLr9dL0PmU9bs6N3CWuNgpJ1dqvCck/view?usp=drive_link,unresolved_no_fabricated_target
WY-EO-2021-09,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://drive.google.com/file/d/1ptfGwJ4e622ZtZv38us_KBwtL2e1q5Y2/view?usp=drive_link,unresolved_no_fabricated_target
WY-EO-2019-01,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://drive.google.com/file/d/1vBLsqrslQ6ulsziHzzZ0H3vPmesLSr41/view?usp=drive_link,unresolved_no_fabricated_target
